seed,fold,row_id,p_ref,p_focal,y,delta_p,boundary_distance,p_true_class,difficulty,moved_toward_truth
42,1,0,1.815344396423957e-07,0.006376329020080876,0,0.006376147485641234,0.49999981846556035,0.9999998184655604,easy,False
42,1,2,1.119162166414958e-05,0.030175893008686804,0,0.030164701387022656,0.49998880837833587,0.9999888083783358,easy,False
42,1,6,9.61989466507588e-08,0.003992498967565235,0,0.0039924027686185845,0.49999990380105336,0.9999999038010533,easy,False
42,1,8,8.991062317478762e-08,0.003980711760206861,0,0.003980621849583686,0.49999991008937683,0.9999999100893768,easy,False
42,1,11,3.720010363053367e-07,0.00799080342246575,0,0.007990431421429444,0.4999996279989637,0.9999996279989637,easy,False
42,1,13,1.0817095485487483e-07,0.00397404950848341,0,0.003973941337528555,0.49999989182904514,0.9999998918290451,easy,False
42,1,20,2.6649284516470105e-07,0.006416457548155952,0,0.006416191055310787,0.4999997335071548,0.9999997335071549,easy,False
42,1,26,3.0291849011090286e-07,0.008475746396427357,0,0.008475443477937246,0.4999996970815099,0.9999996970815099,easy,False
42,1,28,1.6627027314986348e-07,0.007040749368503891,0,0.007040583098230742,0.49999983372972684,0.9999998337297269,easy,False
42,1,29,1.6117418824144444e-07,0.005784626450779064,0,0.005784465276590823,0.4999998388258118,0.9999998388258118,easy,False
42,1,32,1.1234548172006346e-06,0.01130975988923824,0,0.01130863643442104,0.4999988765451828,0.9999988765451828,easy,False
42,1,35,1.3924461266416417e-07,0.00657054957931815,0,0.006570410334705486,0.4999998607553873,0.9999998607553874,easy,False
42,1,37,3.506662288308192e-07,0.005833727696549392,0,0.005833377030320562,0.49999964933377117,0.9999996493337712,easy,False
42,1,39,1.1681048634530308e-07,0.006047855051496521,0,0.006047738241010176,0.49999988318951366,0.9999998831895136,easy,False
42,1,41,1.1352316960069642e-07,0.005098451527678839,0,0.0050983380045092385,0.4999998864768304,0.9999998864768304,easy,False
42,1,46,6.464380896489124e-07,0.007675106643200265,0,0.007674460205110616,0.49999935356191033,0.9999993535619104,easy,False
42,1,51,1.3546444981947226e-07,0.004700641356263045,0,0.0047005058918132255,0.4999998645355502,0.9999998645355502,easy,False
42,1,57,9.198266137571255e-07,0.011247368563569308,0,0.011246448736955551,0.49999908017338623,0.9999990801733862,easy,False
42,1,61,1.4232057466459318e-07,0.005455036250734078,0,0.005454893930159414,0.49999985767942534,0.9999998576794253,easy,False
42,1,78,1.046258918881328e-07,0.004346715504848486,0,0.004346610878956598,0.4999998953741081,0.9999998953741082,easy,False
42,1,87,9.178455769801317e-06,0.021311256031583646,0,0.021302077575813844,0.4999908215442302,0.9999908215442302,easy,False
