seed,fold,row_id,p_ref,p_focal,y,delta_p,boundary_distance,p_true_class,difficulty,moved_toward_truth
42,1,0,4.716168622199958e-08,0.004935822882032458,0,0.004935775720346236,0.4999999528383138,0.9999999528383138,easy,False
42,1,2,4.922943150380619e-08,0.003397156408893719,0,0.003397107179462215,0.49999995077056847,0.9999999507705685,easy,False
42,1,6,8.256140320090303e-07,0.008603242614369015,0,0.008602417000337006,0.49999917438596797,0.999999174385968,easy,False
42,1,8,4.579654878397148e-08,0.0041299332001623335,0,0.004129887403613549,0.4999999542034512,0.9999999542034512,easy,False
42,1,11,1.892384865974827e-07,0.005559860457759412,0,0.005559671219272815,0.4999998107615134,0.9999998107615135,easy,False
42,1,13,4.0811258037233156e-08,0.003998013954677265,0,0.003997973143419228,0.49999995918874196,0.999999959188742,easy,False
42,1,20,1.807971164203666e-07,0.0066332212687254125,0,0.006633040471608992,0.49999981920288356,0.9999998192028836,easy,False
42,1,26,7.664152629130479e-08,0.0036116346983218685,0,0.0036115580567955773,0.4999999233584737,0.9999999233584738,easy,False
42,1,28,4.361494604603068e-08,0.003165530619709048,0,0.0031654870047630023,0.49999995638505396,0.9999999563850539,easy,False
42,1,29,4.0958596114699484e-08,0.003178913785872076,0,0.0031788728272759614,0.4999999590414039,0.9999999590414039,easy,False
42,1,32,1.5947508028943554e-07,0.004731993231422305,0,0.0047318337563420155,0.4999998405249197,0.9999998405249197,easy,False
42,1,35,1.3996373654344423e-07,0.005345698296104734,0,0.0053455583323681905,0.49999986003626345,0.9999998600362635,easy,False
42,1,37,7.813121911101819e-08,0.00549382169443539,0,0.005493743563216279,0.4999999218687809,0.9999999218687808,easy,False
42,1,39,4.714870695888537e-08,0.00402055880321684,0,0.004020511654509881,0.49999995285129306,0.9999999528512931,easy,False
42,1,41,4.088469971265375e-08,0.004327204357384927,0,0.004327163472685214,0.49999995911530026,0.9999999591153003,easy,False
42,1,46,3.9730323779786816e-08,0.00383957345275703,0,0.0038395337224332504,0.49999996026967625,0.9999999602696762,easy,False
42,1,51,5.069206032216478e-08,0.003003351105298602,0,0.0030033004132382795,0.4999999493079397,0.9999999493079397,easy,False
